verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
bioClinBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,bioClinBERT,NCNF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.737,0.391,0.695,0.687,0.577922078,0.809010774,7460,14785,0.809010774,0.781950142,0.838011498,0.838011498,0.463136729,0.536863271,2137,0.947,0.984,1.445,39.53,4,12390,4005,3455,2395,3/19/24 23:24
baseBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,baseBERT,NCNF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.736,0.391,0.696,0.688,0.579784946,0.80805501,7460,14785,0.80805501,0.783179943,0.834562056,0.834562056,0.457908847,0.542091153,2118,0.957,0.986,1.432,38.582,4,12339,4044,3416,2446,3/19/24 23:22
radBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,radBERT,NCNF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.737,0.392,0.696,0.688,0.579733027,0.808351879,7460,14785,0.808351879,0.783082874,0.835306053,0.835306053,0.458579088,0.541420912,2116,0.953,0.978,1.431,39.812,4,12350,4039,3421,2435,3/19/24 23:21
bioClinBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,bioClinBERT,CF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.735,0.384,0.692,0.684,0.572153367,0.807676017,7460,14785,0.807676017,0.779167714,0.838349679,0.838349679,0.470911528,0.529088472,2137,0.944,0.983,1.445,39.087,4,12395,3947,3513,2390,3/19/24 22:20
baseBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,baseBERT,CF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.734,0.384,0.692,0.685,0.573958108,0.806549662,7460,14785,0.806549662,0.780356691,0.834562056,0.834562056,0.465549598,0.534450402,2118,0.959,0.987,1.432,38.401,4,12339,3987,3473,2446,3/19/24 22:17
radBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,radBERT,CF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.734,0.386,0.693,0.686,0.577041217,0.805811551,7460,14785,0.805811551,0.782185152,0.830909706,0.830909706,0.458579088,0.541420912,2126,0.956,0.979,1.438,40.68,4,12285,4039,3421,2500,3/19/24 22:16
bioClinBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,bioClinBERT,CNF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.737,0.391,0.695,0.687,0.577922078,0.809010774,7460,14785,0.809010774,0.781950142,0.838011498,0.838011498,0.463136729,0.536863271,2137,0.947,0.984,1.445,39.53,4,12390,4005,3455,2395,3/19/24 21:15
baseBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.736,0.391,0.696,0.688,0.579784946,0.80805501,7460,14785,0.80805501,0.783179943,0.834562056,0.834562056,0.457908847,0.542091153,2118,0.957,0.986,1.432,38.582,4,12339,4044,3416,2446,3/19/24 21:13
radBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.739,0.397,0.698,0.691,0.583852712,0.809734368,7460,14785,0.809734368,0.785024768,0.836050051,0.836050051,0.453753351,0.546246649,2121,0.957,0.981,1.434,40.579,4,12361,4075,3385,2424,3/19/24 21:12
bioClinBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.735,0.386,0.693,0.685,0.57366023,0.807748753,7460,14785,0.807748753,0.779947097,0.837605681,0.837605681,0.468364611,0.531635389,2132,0.944,0.983,1.442,39.913,4,12384,3966,3494,2401,3/19/24 19:39
radBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.735,0.386,0.693,0.685,0.575295134,0.80717694,7460,14785,0.80717694,0.780939733,0.835238417,0.835238417,0.464343164,0.535656836,2130,0.953,0.977,1.44,40.256,4,12349,3996,3464,2436,3/19/24 19:36
baseBERT-randomsplits-ep1bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,1,3.00E-05,0,32,177959,22245,22245,0.737,0.391,0.695,0.688,0.578981395,0.808269816,7460,14785,0.808269816,0.782691333,0.835576598,0.835576598,0.459785523,0.540214477,2122,0.96,0.987,1.435,38.683,4,12354,4030,3430,2431,3/19/24 19:32
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,bioClinBERT,NCNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.742,0.408,0.704,0.699,0.59587353,0.810525273,7460,14785,0.810525273,0.791731166,0.830233345,0.830233345,0.432841823,0.567158177,2131,0.963,0.991,1.441,37.473,4,12275,4231,3229,2510,3/19/24 23:38
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,bioClinBERT,CNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.742,0.408,0.704,0.699,0.59587353,0.810525273,7460,14785,0.810525273,0.791731166,0.830233345,0.830233345,0.432841823,0.567158177,2131,0.963,0.991,1.441,37.473,4,12275,4231,3229,2510,3/19/24 21:28
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,radBERT,NCNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.740,0.403,0.702,0.695,0.590860786,0.809876543,7460,14785,0.809876543,0.788967287,0.831924248,0.831924248,0.441018767,0.558981233,2135,0.965,0.985,1.444,40.518,4,12300,4170,3290,2485,3/19/24 23:35
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.739,0.403,0.701,0.697,0.593288026,0.807889599,7460,14785,0.807889599,0.790953862,0.825566452,0.825566452,0.432439678,0.567560322,2142,0.969,0.986,1.449,41.204,4,12206,4234,3226,2579,3/19/24 21:25
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,baseBERT,NCNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.739,0.396,0.698,0.690,0.581296416,0.810358904,7460,14785,0.810358904,0.783468047,0.839161312,0.839161312,0.459651475,0.540348525,2136,0.967,0.99,1.444,39.429,4,12407,4031,3429,2378,3/19/24 23:35
