verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
baseBERT-randomsplits-ep2bSz32nTok64wup0lr1e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,1.00E-05,0,32,177959,22245,22245,0.734187458,0.388000061,0.694,0.687830508,0.579893428,0.805589347,7460,14785,0.805589347,0.78381318,0.828610078,0.828610078,0.452949062,0.547050938,2128,0.962,0.988,1.439,38.3,4,12251,4081,3379,2534,3/18/24 14:14
baseBERT-randomsplits-ep2bSz32nTok64wup0lr1e04dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,0.0001,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1780,0.825,0.825,1.204,6.074,1,14785,0,7460,0,3/18/24 14:14
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.737199371,0.391182118,0.696,0.687439832,0.577845176,0.809216109,7460,14785,0.809216109,0.7818629,0.838552587,0.838552587,0.463672922,0.536327078,2135,0.966,0.986,1.444,39.53,4,12398,4001,3459,2387,3/18/24 14:44
baseBERT-randomsplits-ep2bSz32nTok64wup0lr2e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,2.00E-05,0,32,177959,22245,22245,0.736839739,0.392870316,0.696,0.689560125,0.581857143,0.808002624,7460,14785,0.808002624,0.784336199,0.833141698,0.833141698,0.454021448,0.545978552,2128,0.963,0.987,1.439,38.542,4,12318,4073,3387,2467,3/18/24 14:44
baseBERT-randomsplits-ep2bSz32nTok64wup0lr5e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,5.00E-05,0,32,177959,22245,22245,0.735266352,0.384609593,0.692,0.683196346,0.570866429,0.808593623,7460,14785,0.808593623,0.778313102,0.841325668,0.841325668,0.474932976,0.525067024,2120,0.958,0.976,1.434,38.24,4,12439,3917,3543,2346,3/18/24 15:14
baseBERT-randomsplits-ep2bSz32nTok64wup0lr4e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,4.00E-05,0,32,177959,22245,22245,0.734726905,0.385577796,0.693,0.684849306,0.574211704,0.807352029,7460,14785,0.807352029,0.78032311,0.836320595,0.836320595,0.466621984,0.533378016,2126,0.96,0.983,1.438,39.066,4,12365,3979,3481,2420,3/18/24 15:14
baseBERT-randomsplits-ep2bSz32nTok64wup0lr7e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,7.00E-05,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1952,0.676,0.676,1.32,34.189,5,14785,0,7460,0,3/18/24 15:44
baseBERT-randomsplits-ep2bSz32nTok64wup0lr6e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,6.00E-05,0,32,177959,22245,22245,0.733603057,0.380938893,0.690,0.681579811,0.568641724,0.807297086,7460,14785,0.807297086,0.77741592,0.839567129,0.839567129,0.476407507,0.523592493,2082,0.918,0.919,1.408,38.219,4,12413,3906,3554,2372,3/18/24 15:44
radBERT-randomsplits-ep2bSz32nTok64wup0lr1e04dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,0.0001,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1889,0.596,0.596,1.277,26.158,4,14785,0,7460,0,3/18/24 16:13
radBERT-randomsplits-ep2bSz32nTok64wup0lr1e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,1.00E-05,0,32,177959,22245,22245,0.737963587,0.394499112,0.697,0.689841073,0.581880783,0.80919179,7460,14785,0.80919179,0.784064958,0.835982415,0.835982415,0.456300268,0.543699732,2124,0.962,0.989,1.436,39.611,4,12360,4056,3404,2425,3/18/24 16:14
radBERT-randomsplits-ep2bSz32nTok64wup0lr2e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,2.00E-05,0,32,177959,22245,22245,0.736749831,0.394503581,0.697,0.691252411,0.58491636,0.807254295,7460,14785,0.807254295,0.786240944,0.829421711,0.829421711,0.44691689,0.55308311,2141,0.966,0.987,1.448,40.417,4,12263,4126,3334,2522,3/18/24 16:42
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.737379186,0.396062678,0.698,0.692057924,0.586084739,0.807677114,7460,14785,0.807677114,0.786800077,0.829692256,0.829692256,0.445576408,0.554423592,2141,0.964,0.985,1.448,41.164,4,12267,4136,3324,2518,3/18/24 16:43
radBERT-randomsplits-ep2bSz32nTok64wup0lr4e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,4.00E-05,0,32,177959,22245,22245,0.736749831,0.39415972,0.697,0.69092035,0.584327087,0.807381093,7460,14785,0.807381093,0.785874368,0.830098072,0.830098072,0.448257373,0.551742627,2141,0.965,0.985,1.448,40.559,4,12273,4116,3344,2512,3/18/24 17:00
radBERT-randomsplits-ep2bSz32nTok64wup0lr5e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,5.00E-05,0,32,177959,22245,22245,0.736255338,0.392825518,0.696,0.690183084,0.583220857,0.807089074,7460,14785,0.807089074,0.785321218,0.830098072,0.830098072,0.449731903,0.550268097,2136,0.957,0.976,1.444,41.002,4,12273,4105,3355,2512,3/18/24 17:01
radBERT-randomsplits-ep2bSz32nTok64wup0lr6e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,6.00E-05,0,32,177959,22245,22245,0.735985615,0.388655024,0.694,0.686393921,0.576476527,0.808216047,7460,14785,0.808216047,0.781348655,0.836996956,0.836996956,0.464209115,0.535790885,2113,0.951,0.963,1.429,39.954,4,12375,3997,3463,2410,3/18/24 17:12
radBERT-randomsplits-ep2bSz32nTok64wup0lr7e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,7.00E-05,0,32,177959,22245,22245,0.723488424,0.348812382,0.674,0.662049769,0.535598339,0.803136502,7460,14785,0.803136502,0.762272175,0.848630369,0.848630369,0.524530831,0.475469169,2062,0.931,0.94,1.394,40.684,5,12547,3547,3913,2238,3/18/24 17:12
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr1e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,2,1.00E-05,0,32,177959,22245,22245,0.735221398,0.391350397,0.696,0.68990336,0.583156405,0.80599473,7460,14785,0.80599473,0.785553772,0.8275279,0.8275279,0.44772118,0.55227882,2135,0.96,0.987,1.444,37.393,4,12235,4120,3340,2550,3/18/24 17:23
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr1e04dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,2,0.0001,0,32,177959,22245,22245,0.698943583,0.353854886,0.677,0.682867889,0.585504735,0.763632513,7460,14785,0.763632513,0.798494243,0.731687521,0.731687521,0.365951743,0.634048257,2002,0.614,0.617,1.354,38.384,5,10818,4730,2730,3967,3/18/24 17:23
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.736974601,0.396496728,0.698,0.692915774,0.587754527,0.806878569,7460,14785,0.806878569,0.787970603,0.826716266,0.826716266,0.440884718,0.559115282,2138,0.96,0.992,1.446,38.038,4,12223,4171,3289,2562,3/18/24 17:23
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr2e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,2,2.00E-05,0,32,177959,22245,22245,0.735625983,0.391574607,0.696,0.689676426,0.582582156,0.806552416,7460,14785,0.806552416,0.785092213,0.829218803,0.829218803,0.449865952,0.550134048,2145,0.962,0.989,1.451,38.279,4,12260,4104,3356,2525,3/18/24 17:23
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr4e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,2,4.00E-05,0,32,177959,22245,22245,0.738188357,0.397490778,0.699,0.692533825,0.586598524,0.808433656,7460,14785,0.808433656,0.786898892,0.83118025,0.83118025,0.446112601,0.553887399,2142,0.963,0.984,1.449,37.594,4,12289,4132,3328,2496,3/18/24 17:30
