verTag,model,reason-filter,reason-version,Size,Splits,nTrain,nTest,accTest,accTrain,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F_1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
BernoulliNB-TFIDF-xSplits-1500-NCF-v3-2x,BernoulliNB,NCF,3-2x,1500,Random (test=0.1),200204,22245,0.700780204,0.699797707,0.382131534,0.691065767,0.700949937,0.610385064,0.75583181,7426,14819,0.75583181,0.824834411,0.697482961,0.697482961,0.295583086,0.704416914,2019,0.997,1,1.362,39.754,6,10336,5231,2195,4483,4/6/24 16:41
BernoulliNB-TFIDF-xSplits-1500-NCNF-v3-2x,BernoulliNB,NCNF,3-2x,1500,Random (test=0.1),200204,22245,0.702193762,0.700022477,0.38132183,0.690660915,0.700413238,0.609606272,0.756433186,7426,14819,0.756433186,0.823819367,0.699237465,0.699237465,0.298410988,0.701589012,2037,0.998,1,1.374,39.592,6,10362,5210,2216,4457,4/6/24 18:27
GaussianNB-TFIDF-xSplits-1500-NCF-v3-2x,GaussianNB,NCF,3-2x,1500,Random (test=0.1),200204,22245,0.593589539,0.593796359,0.295802182,0.647901091,0.651890115,0.576053298,0.610113911,7426,14819,0.610113911,0.845997367,0.477090222,0.477090222,0.173309992,0.826690008,1873,1,1,1.264,36.773,5,7070,6139,1287,7749,4/6/24 16:41
GaussianNB-TFIDF-xSplits-1500-NCNF-v3-2x,GaussianNB,NCNF,3-2x,1500,Random (test=0.1),200204,22245,0.59665641,0.596358732,0.298749701,0.649374851,0.653645369,0.577399162,0.613690143,7426,14819,0.613690143,0.84662868,0.48127404,0.48127404,0.173983302,0.826016698,1880,1,1,1.268,37.137,5,7132,6134,1292,7687,4/6/24 18:28
MultinomialNB-TFIDF-xSplits-1500-NCF-v3-2x,MultinomialNB,NCF,3-2x,1500,Random (test=0.1),200204,22245,0.725180316,0.724072825,0.348699502,0.674349751,0.662099478,0.535070444,0.803822552,7426,14819,0.803822552,0.763555771,0.848572778,0.848572778,0.524373822,0.475626178,2067,0.935,0.994,1.395,40.655,5,12575,3532,3894,2244,4/6/24 16:41
MultinomialNB-TFIDF-xSplits-1500-NCNF-v3-2x,MultinomialNB,NCNF,3-2x,1500,Random (test=0.1),200204,22245,0.724890612,0.723083839,0.346976764,0.673488382,0.661659503,0.534813472,0.802867384,7426,14819,0.802867384,0.763527908,0.846480869,0.846480869,0.523161864,0.476838136,2065,0.935,0.993,1.393,40.918,5,12544,3541,3885,2275,4/6/24 18:27
BernoulliNB-TFIDF-xSplits-200-NCF-v3-2x,BernoulliNB,NCF,3-2x,200,Random (test=0.1),200204,22245,0.687873369,0.692065633,0.356964425,0.678482212,0.686950487,0.592843557,0.752403672,7426,14819,0.752403672,0.81015023,0.702341589,0.702341589,0.328440614,0.671559386,2037,0.992,1,1.374,37.804,5,10408,4987,2439,4411,4/6/24 16:21
BernoulliNB-TFIDF-xSplits-200-NCNF-v3-2x,BernoulliNB,NCNF,3-2x,200,Random (test=0.1),200204,22245,0.692493656,0.693189481,0.352686488,0.676343244,0.683998269,0.588185603,0.755525307,7426,14819,0.755525307,0.805161093,0.711653958,0.711653958,0.34365742,0.65634258,2037,0.994,1,1.374,36.976,5,10546,4874,2552,4273,4/6/24 18:08
GaussianNB-TFIDF-xSplits-200-NCF-v3-2x,GaussianNB,NCF,3-2x,200,Random (test=0.1),200204,22245,0.635057242,0.635109013,0.326443756,0.663221878,0.672047864,0.588991848,0.671921103,7426,14819,0.671921103,0.837734328,0.560901545,0.560901545,0.216805817,0.783194183,1890,1,1,1.275,36.207,5,8312,5816,1610,6507,4/6/24 16:22
GaussianNB-TFIDF-xSplits-200-NCNF-v3-2x,GaussianNB,NCNF,3-2x,200,Random (test=0.1),200204,22245,0.632999341,0.633175995,0.327080972,0.663540486,0.672142188,0.589619795,0.668373567,7426,14819,0.668373567,0.840196179,0.554895742,0.554895742,0.210611365,0.789388635,1904,1,1,1.285,36.551,5,8223,5862,1564,6596,4/6/24 18:08
